ID;site;region;origin;frequency_A;total_A;percentage_site_A;sites_A;percentage_in_all_A;frequency_B;total_B;percentage_site_B;sites_B;percentage_in_all_B;frequency_C;total_C;percentage_site_C;sites_C;percentage_in_all_C;frequency_D;total_D;percentage_site_D;sites_D;percentage_in_all_D
422;Mallorca;Iberian Peninsula;Western Mediterranean;0;0;0;25;0;0;242;0;29;0;0;549;0;28;0;0;0;0;22;0
423;Mallorca;Iberian Peninsula;Eastern Mediterranean;0;0;0;25;0;0;242;0;29;0;0;549;0;28;0;0;0;0;22;0
424;Mallorca;Iberian Peninsula;unknown;0;0;0;25;0;0;242;0;29;0;441;549;80.32786885;28;2.868852459;0;0;0;22;0
425;Mallorca;Iberian Peninsula;Pontic Sea;0;0;0;25;0;0;242;0;29;0;0;549;0;28;0;0;0;0;22;0
426;Mallorca;Iberian Peninsula;Egypt;0;0;0;25;0;0;242;0;29;0;0;549;0;28;0;0;0;0;22;0
427;Mallorca;Iberian Peninsula;Gallia;0;0;0;25;0;0;242;0;29;0;0;549;0;28;0;0;0;0;22;0
428;Mallorca;Iberian Peninsula;Adria;0;0;0;25;0;0;242;0;29;0;0;549;0;28;0;0;0;0;22;0
429;Baetulo;Tarraconensis;Italy;0;9.75;0;25;0;0;9.75;0;29;0;0;9.75;0;28;0;0;0;0;22;0
430;Baetulo;Tarraconensis;Baetica;5;9.75;51.28205128;25;2.051282051;5;9.75;51.28205128;29;1.768346596;5;9.75;51.28205128;28;1.831501832;0;0;0;22;0
432;Baetulo;Tarraconensis;North Africa;0;9.75;0;25;0;0;9.75;0;29;0;0;9.75;0;28;0;0;0;0;22;0
