ID;site;region;origin;frequency_A;total_A;percentage_site_A;sites_A;percentage_in_all_A;frequency_B;total_B;percentage_site_B;sites_B;percentage_in_all_B;frequency_C;total_C;percentage_site_C;sites_C;percentage_in_all_C;frequency_D;total_D;percentage_site_D;sites_D;percentage_in_all_D
403;Sabratha;North Africa;Italy;12.196;91.0293;13.39788398;26;0.51530323;7.146;63.6626;11.22480075;29;0.387062095;7.176;46.6926;15.36860231;29;0.529951804;9.256;11.4393;80.91404194;22;3.677910997
404;Sabratha;North Africa;Baetica;0;91.0293;0;26;0;0;63.6626;0;29;0;0;46.6926;0;29;0;0;11.4393;0;22;0
405;Sabratha;North Africa;Tarraconensis;0;91.0293;0;26;0;0;63.6626;0;29;0;0;46.6926;0;29;0;0;11.4393;0;22;0
406;Sabratha;North Africa;North Africa;78.0833;91.0293;85.77820548;26;3.299161749;55.6666;63.6626;87.44003544;29;3.015173636;38.6666;46.6926;82.81098075;29;2.855551061;1.3333;11.4393;11.65543346;22;0.52979243
407;Sabratha;North Africa;Iberian Peninsula;0.75;91.0293;0.823910543;26;0.031688867;0.85;63.6626;1.335163817;29;0.046040132;0.85;46.6926;1.82041694;29;0.062772998;0.85;11.4393;7.430524595;22;0.337751118
408;Sabratha;North Africa;Aegean;0;91.0293;0;26;0;0;63.6626;0;29;0;0;46.6926;0;29;0;0;11.4393;0;22;0
409;Sabratha;North Africa;Western Mediterranean;0;91.0293;0;26;0;0;63.6626;0;29;0;0;46.6926;0;29;0;0;11.4393;0;22;0
410;Sabratha;North Africa;Eastern Mediterranean;0;91.0293;0;26;0;0;63.6626;0;29;0;0;46.6926;0;29;0;0;11.4393;0;22;0
411;Sabratha;North Africa;unknown;0;91.0293;0;26;0;0;63.6626;0;29;0;0;46.6926;0;29;0;0;11.4393;0;22;0
412;Sabratha;North Africa;Pontic Sea;0;91.0293;0;26;0;0;63.6626;0;29;0;0;46.6926;0;29;0;0;11.4393;0;22;0
413;Sabratha;North Africa;Egypt;0;91.0293;0;26;0;0;63.6626;0;29;0;0;46.6926;0;29;0;0;11.4393;0;22;0
414;Sabratha;North Africa;Gallia;0;91.0293;0;26;0;0;63.6626;0;29;0;0;46.6926;0;29;0;0;11.4393;0;22;0
415;Sabratha;North Africa;Adria;0;91.0293;0;26;0;0;63.6626;0;29;0;0;46.6926;0;29;0;0;11.4393;0;22;0
416;Mallorca;Iberian Peninsula;Italy;0;0;0;26;0;184;533;34.52157598;29;1.190399172;36;889;4.049493813;29;0.139637718;0;0;0;22;0
417;Mallorca;Iberian Peninsula;Baetica;0;0;0;26;0;10;533;1.876172608;29;0.064695607;0;889;0;29;0;0;0;0;22;0
418;Mallorca;Iberian Peninsula;Tarraconensis;0;0;0;26;0;48;533;9.005628518;29;0.310538914;72;889;8.098987627;29;0.279275435;0;0;0;22;0
419;Mallorca;Iberian Peninsula;North Africa;0;0;0;26;0;0;533;0;29;0;0;889;0;29;0;0;0;0;22;0
420;Mallorca;Iberian Peninsula;Iberian Peninsula;0;0;0;26;0;291;533;54.59662289;29;1.882642169;340;889;38.24521935;29;1.318800667;0;0;0;22;0
421;Mallorca;Iberian Peninsula;Aegean;0;0;0;26;0;0;533;0;29;0;0;889;0;29;0;0;0;0;22;0
422;Mallorca;Iberian Peninsula;Western Mediterranean;0;0;0;26;0;0;533;0;29;0;0;889;0;29;0;0;0;0;22;0
423;Mallorca;Iberian Peninsula;Eastern Mediterranean;0;0;0;26;0;0;533;0;29;0;0;889;0;29;0;0;0;0;22;0
424;Mallorca;Iberian Peninsula;unknown;0;0;0;26;0;0;533;0;29;0;441;889;49.60629921;29;1.710562042;0;0;0;22;0
425;Mallorca;Iberian Peninsula;Pontic Sea;0;0;0;26;0;0;533;0;29;0;0;889;0;29;0;0;0;0;22;0
426;Mallorca;Iberian Peninsula;Egypt;0;0;0;26;0;0;533;0;29;0;0;889;0;29;0;0;0;0;22;0
427;Mallorca;Iberian Peninsula;Gallia;0;0;0;26;0;0;533;0;29;0;0;889;0;29;0;0;0;0;22;0
428;Mallorca;Iberian Peninsula;Adria;0;0;0;26;0;0;533;0;29;0;0;889;0;29;0;0;0;0;22;0
429;Baetulo;Tarraconensis;Italy;0;50;0;26;0;0;50;0;29;0;0;50;0;29;0;0;0;0;22;0
430;Baetulo;Tarraconensis;Baetica;5;50;10;26;0.384615385;5;50;10;29;0.344827586;5;50;10;29;0.344827586;0;0;0;22;0
431;Baetulo;Tarraconensis;Tarraconensis;40.25;50;80.5;26;3.096153846;40.25;50;80.5;29;2.775862069;40.25;50;80.5;29;2.775862069;0;0;0;22;0
432;Baetulo;Tarraconensis;North Africa;0;50;0;26;0;0;50;0;29;0;0;50;0;29;0;0;0;0;22;0
433;Baetulo;Tarraconensis;Iberian Peninsula;0;50;0;26;0;0;50;0;29;0;0;50;0;29;0;0;0;0;22;0
434;Baetulo;Tarraconensis;Aegean;0;50;0;26;0;0;50;0;29;0;0;50;0;29;0;0;0;0;22;0
435;Baetulo;Tarraconensis;Western Mediterranean;0;50;0;26;0;0;50;0;29;0;0;50;0;29;0;0;0;0;22;0
436;Baetulo;Tarraconensis;Eastern Mediterranean;0;50;0;26;0;0;50;0;29;0;0;50;0;29;0;0;0;0;22;0
437;Baetulo;Tarraconensis;unknown;2.75;50;5.5;26;0.211538462;2.75;50;5.5;29;0.189655172;2.75;50;5.5;29;0.189655172;0;0;0;22;0
438;Baetulo;Tarraconensis;Pontic Sea;0;50;0;26;0;0;50;0;29;0;0;50;0;29;0;0;0;0;22;0
439;Baetulo;Tarraconensis;Egypt;0;50;0;26;0;0;50;0;29;0;0;50;0;29;0;0;0;0;22;0
