ID;site;region;origin;frequency_A;total_A;percentage_site_A;sites_in_region_A;percentage_in_region_A;sites_A;percentage_in_all_A;frequency_B;total_B;percentage_site_B;sites_in_region_B;percentage_in_region_B;sites_B;percentage_in_all_B;frequency_C;total_C;percentage_site_C;sites_in_region_C;percentage_in_region_C;sites_C;percentage_in_all_C;frequency_D;total_D;percentage_site_D;sites_in_region_D;percentage_in_region_D;sites_D;percentage_in_all_D;
84;Caesarea;Eastern Mediterranean;Western Mediterranean;0;12.5;0;2;0;26;0;0;12.4999;0;2;0;29;0;0;8.4999;0;3;0;29;0;0;8.4999;0;3;0;22;0;
85;Caesarea;Eastern Mediterranean;Eastern Mediterranean;0;12.5;0;2;0;26;0;0;12.4999;0;2;0;29;0;6.5;8.4999;76.4714879;3;25.49049597;29;2.636947859;6.5;8.4999;76.4714879;3;25.49049597;22;3.475976723;
86;Caesarea;Eastern Mediterranean;unknown;2.5;12.5;20;2;10;26;0.769230769;2.8333;12.4999;22.66658133;2;11.33329067;29;0.781606253;0.5833;8.4999;6.862433676;3;2.287477892;29;0.236635644;0.5833;8.4999;6.862433676;3;2.287477892;22;0.311928803;
87;Caesarea;Eastern Mediterranean;Pontic Sea;0;12.5;0;2;0;26;0;0;12.4999;0;2;0;29;0;0;8.4999;0;3;0;29;0;0;8.4999;0;3;0;22;0;
88;Caesarea;Eastern Mediterranean;Egypt;0;12.5;0;2;0;26;0;0;12.4999;0;2;0;29;0;0;8.4999;0;3;0;29;0;0;8.4999;0;3;0;22;0;
89;Caesarea;Eastern Mediterranean;Gallia;0;12.5;0;2;0;26;0;0.3333;12.4999;2.666421331;2;1.333210666;29;0.091945563;0.3333;8.4999;3.921222603;3;1.307074201;29;0.135214573;0.3333;8.4999;3.921222603;3;1.307074201;22;0.178237391;
90;Caesarea;Eastern Mediterranean;Adria;1;12.5;8;2;4;26;0.307692308;0;12.4999;0;2;0;29;0;0;8.4999;0;3;0;29;0;0;8.4999;0;3;0;22;0;
91;Paphos;Eastern Mediterranean;Italy;0;5.1665;0;2;0;26;0;11.25;18.49993;60.81104091;2;30.40552045;29;2.096932445;1.25;3.6665;34.09245875;3;11.36415292;29;1.175602026;0.25;15.5;1.612903226;3;0.537634409;22;0.073313783;
92;Paphos;Eastern Mediterranean;Baetica;0;5.1665;0;2;0;26;0;0;18.49993;0;2;0;29;0;0;3.6665;0;3;0;29;0;0;15.5;0;3;0;22;0;
93;Paphos;Eastern Mediterranean;Tarraconensis;0;5.1665;0;2;0;26;0;0;18.49993;0;2;0;29;0;0;3.6665;0;3;0;29;0;0;15.5;0;3;0;22;0;
94;Paphos;Eastern Mediterranean;North Africa;0;5.1665;0;2;0;26;0;0;18.49993;0;2;0;29;0;0;3.6665;0;3;0;29;0;0;15.5;0;3;0;22;0;
95;Paphos;Eastern Mediterranean;Iberian Peninsula;0;5.1665;0;2;0;26;0;0;18.49993;0;2;0;29;0;0;3.6665;0;3;0;29;0;0;15.5;0;3;0;22;0;
